vowel,closure,burst,language,phon_ctxt_stress,phon_ctxt_canonical_vl,mimic,Block.Type,MinimalPairID,Word,Sound,phon_ctxt_r,phon_ctxt_l,phon_ctxt_n,Item.Filename,syllable,Item.MinimalPair,Item.Word,syllable_duration,num_of_segments
0.401479333,0.144203257,0.053228458,non-native,yes,long,yes,exposure,NA,nomad,/d/,no,no,no,ETW_10_nomad,2,NA,ETW_10_nomad,0.725200113,3
0.248573732,0.128862467,0.073092971,non-native,yes,long,yes,exposure,NA,period,/d/,no,no,no,ETW_11_period,3,NA,ETW_11_period,0.450529169,2
0.132749078,0.032241119,0.053075745,non-native,yes,short,yes,exposure,NA,offerlund,/d/,no,no,yes,ETW_12_offerlund,3,NA,ETW_12_offerlund,0.664388512,4
0.23645949,0.118231293,0.10179932,non-native,yes,short,yes,exposure,NA,oevervoald,/d/,no,yes,no,ETW_13_oevervoald,3,NA,ETW_13_oevervoald,0.784601862,4
0.294721782,0.229584442,0.063107607,non-native,yes,long,yes,exposure,NA,myriad,/d/,no,no,no,ETW_14_myriad,3,NA,ETW_14_myriad,0.587413831,2
0.209112102,0.173590649,0.036217687,non-native,yes,short,yes,exposure,NA,knivsudd,/d/,no,no,no,ETW_15_knivsudd,2,NA,ETW_15_knivsudd,0.612248575,3
0.287023105,0.130734807,0.114336054,non-native,yes,long,yes,exposure,NA,episod,/d/,no,no,no,ETW_16_episod,3,NA,ETW_16_episod,0.718858409,3
0.338965824,0.134132571,0.046226046,non-native,yes,long,yes,exposure,NA,hemmavid,/d/,no,no,no,ETW_17_hemmavid,3,NA,ETW_17_hemmavid,0.564033214,3
0.325502834,0.121397392,0.123854875,non-native,yes,long,yes,exposure,NA,husfasad,/d/,no,no,no,ETW_18_husfasad,3,NA,ETW_18_husfasad,0.691780045,3
0.179650973,0.074748947,0.048942367,non-native,yes,short,yes,exposure,NA,saallskapshund,/d/,no,no,yes,ETW_19_saallskapshund,3,NA,ETW_19_saallskapshund,0.694274675,4
0.142226256,0.111502506,0.060264906,non-native,no,short,yes,exposure,NA,loppmarknad,/d/,no,no,no,ETW_20_loppmarknad,3,NA,ETW_20_loppmarknad,0.431648126,3
0.360435812,0.20845805,0.081139456,non-native,yes,long,yes,exposure,NA,marmelad,/d/,no,no,no,ETW_21_marmelad,3,NA,ETW_21_marmelad,0.725384897,3
0.276673057,0.137809201,0.073332912,non-native,yes,long,yes,exposure,NA,sinnesfrid,/d/,no,no,no,ETW_22_sinnesfrid,3,NA,ETW_22_sinnesfrid,0.651281873,4
0.38737415,0.160557175,0.068286362,non-native,yes,long,yes,exposure,NA,promenad,/d/,no,no,no,ETW_23_promenad,3,NA,ETW_23_promenad,0.674562358,3
0.28974442,0.127849314,0.041510096,non-native,yes,long,yes,exposure,NA,oeverfloed,/d/,no,no,no,ETW_24_oeverfloed,3,NA,ETW_24_oeverfloed,0.665948299,4
0.08690105,0.030145258,0.112557823,non-native,yes,short,yes,exposure,NA,mikrosekund,/d/,no,no,yes,ETW_25_mikrosekund,4,NA,ETW_25_mikrosekund,0.607267574,4
0.346578236,0.117118764,0.118737374,non-native,yes,long,yes,exposure,NA,olympiad,/d/,no,no,no,ETW_26_olympiad,4,NA,ETW_26_olympiad,0.582434373,2
0.166928427,0.053638554,0.10822563,non-native,yes,short,yes,exposure,NA,medellivslaangd,/d/,no,no,no,ETW_27_medellivslaangd,4,NA,ETW_27_medellivslaangd,0.622860857,4
0.305907896,0.101222537,0.046716656,non-native,yes,long,yes,exposure,NA,kommunalroad,/d/,no,no,no,ETW_28_kommunalroad,4,NA,ETW_28_kommunalroad,0.511570151,3
0.092659645,0.081074072,0.061659452,non-native,no,short,yes,exposure,NA,oeverhuvud,/d/,no,no,no,ETW_29_oeverhuvud,4,NA,ETW_29_oeverhuvud,0.327800901,3
0.18142706,0.108291545,0.056503013,non-native,no,short,yes,exposure,NA,oeverlevnad,/d/,no,no,no,ETW_30_oeverlevnad,4,NA,ETW_30_oeverlevnad,0.432324986,3
0.2702025,0.104384019,0.082065406,native,yes,long,irrelevant,test,1,rid,/d/,no,no,no,TDF_1_rid,1,S1,TDF_1_rid,0.604994663,3
0.329274609,0.108772443,0.085158677,native,yes,long,irrelevant,test,2,ved,/d/,no,no,no,TDF_2_ved,1,S2,TDF_2_ved,0.703350773,3
0.315950197,0.113312381,0.081792574,native,yes,long,irrelevant,test,3,raad,/d/,no,no,no,TDF_3_raad,1,S3,TDF_3_raad,0.656165676,3
0.290704095,0.11866758,0.083398146,native,yes,long,irrelevant,test,4,rod,/d/,no,no,no,TDF_4_rod,1,S4,TDF_4_rod,0.639666176,3
0.312476053,0.12271069,0.075611615,native,yes,long,irrelevant,test,5,voad,/d/,no,no,no,TDF_5_voad,1,S5,TDF_5_voad,0.725504945,3
0.32735935,0.125869087,0.085003381,native,yes,long,irrelevant,test,6,voard,/d/,yes,no,no,TDF_6_voard,1,S6,TDF_6_voard,0.68294564,4
0.29137561,0.100798553,0.093774472,native,yes,long,irrelevant,test,7,vid,/d/,no,no,no,TDF_7_vid,1,S7,TDF_7_vid,0.59134025,3
0.320468686,0.132600966,0.069059603,native,yes,long,irrelevant,test,8,nod,/d/,no,no,no,TDF_8_nod,1,S8,TDF_8_nod,0.653810772,3
0.318647911,0.13320491,0.088101038,native,yes,long,irrelevant,test,9,bod,/d/,no,no,no,TDF_9_bod,1,S9,TDF_9_bod,0.65850068,3
0.299449835,0.112192336,0.07841232,native,yes,long,irrelevant,test,10,brod,/d/,no,no,no,TDF_10_brod,1,S10,TDF_10_brod,0.606419744,4
0.264639925,0.115427933,0.081749049,native,yes,long,irrelevant,test,11,svid,/d/,no,no,no,TDF_11_svid,1,S11,TDF_11_svid,0.738758084,4
