item,item_cond,sound,corr_ans,group,block_id,listname,rating_for,position,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,rating_1.response,rating_1.rt,participant
61,EFW,EFW_31_jaamfoera_070319.wav,j,c ,NA,,,,j,1,1.569061582,NA,NA,100
141,ENW,ENW_51_skillare_150219.wav,n,c ,NA,,,,n,1,2.084077532,NA,NA,100
39,EFW,EFW_9_infektion_070319.wav,j,c ,NA,,,,j,1,1.302841969,NA,NA,100
175,ENW,ENW_85_forlinna_150219.wav,n,c ,NA,,,,n,1,1.81699096,NA,NA,100
177,ENW,ENW_87_kloavare_150219.wav,n,c ,NA,,,,n,1,1.485787703,NA,NA,100
100,ENW,ENW_10_skinnamer_150219.wav,n,c ,NA,,,,n,1,1.852590525,NA,NA,100
157,ENW,ENW_67_oafreskar_150219.wav,n,c ,NA,,,,n,1,1.702250809,NA,NA,100
158,ENW,ENW_68_presionar_150219.wav,n,c ,NA,,,,n,1,1.969104199,NA,NA,100
72,EFW,EFW_42_naavaron_070319.wav,j,c ,NA,,,,j,1,1.619623658,NA,NA,100
104,ENW,ENW_14_kärmenor_150219.wav,n,c ,NA,,,,n,1,2.118942217,NA,NA,100
71,EFW,EFW_41_infinna_070319.wav,j,c ,NA,,,,j,1,1.702534116,NA,NA,100
74,EFW,EFW_44_ljusa_070319.wav,j,c ,NA,,,,n,0,2.502554142,NA,NA,100
139,ENW,ENW_49_hälskrena_150219.wav,n,c ,NA,,,,n,1,1.735779988,NA,NA,100
135,ENW,ENW_45_fammoarens_150219.wav,n,c ,NA,,,,n,1,2.618988511,NA,NA,100
80,EFW,EFW_50_snaalla_070319.wav,j,c ,NA,,,,j,1,1.2521811,NA,NA,100
45,EFW,EFW_15_oeverens_070319.wav,j,c ,NA,,,,j,1,1.283772648,NA,NA,100
121,ENW,ENW_31_romation_150219.wav,n,c ,NA,,,,n,1,1.502867248,NA,NA,100
118,ENW,ENW_28_läkermask_150219.wav,n,c ,NA,,,,j,0,2.136337952,NA,NA,100
99,ENW,ENW_9_samlemor_150219.wav,n,c ,NA,,,,n,1,1.469356754,NA,NA,100
161,ENW,ENW_71_forskäckla_150219.wav,n,c ,NA,,,,n,1,1.420043319,NA,NA,100
49,EFW,EFW_19_roerelse_070319.wav,j,c ,NA,,,,j,1,1.35251596,NA,NA,100
64,EFW,EFW_34_sommar_070319.wav,j,c ,NA,,,,j,1,1.417210326,NA,NA,100
174,ENW,ENW_84_hurmarna_150219.wav,n,c ,NA,,,,n,1,2.36917047,NA,NA,100
102,ENW,ENW_12_snälmola_150219.wav,n,c ,NA,,,,n,1,2.752153774,NA,NA,100
169,ENW,ENW_79_lyxmare_150219.wav,n,c ,NA,,,,n,1,1.718909294,NA,NA,100
150,ENW,ENW_60_lackpenar_150219.wav,n,c ,NA,,,,n,1,6.286094784,NA,NA,100
15,ECW,ECW_15_tjuvarna_070319.wav,j,c ,NA,,,,j,1,1.185921156,NA,NA,100
85,EFW,EFW_55_oroar_070319.wav,j,c ,NA,,,,j,1,1.185908217,NA,NA,100
106,ENW,ENW_16_rolinkar_150219.wav,n,c ,NA,,,,n,1,1.81931357,NA,NA,100
178,ENW,ENW_88_marsifen_150219.wav,n,c ,NA,,,,n,1,2.136256552,NA,NA,100
145,ENW,ENW_55_invaskin_150219.wav,n,c ,NA,,,,n,1,4.302703698,NA,NA,100
146,ENW,ENW_56_lysskarna_150219.wav,n,c ,NA,,,,n,1,1.669539342,NA,NA,100
93,ENW,ENW_3_vissorens_150219.wav,n,c ,NA,,,,n,1,2.385357017,NA,NA,100
122,ENW,ENW_32_fonering_150219.wav,n,c ,NA,,,,n,1,1.535472665,NA,NA,100
113,ENW,ENW_23_allsänning_150219.wav,n,c ,NA,,,,n,1,4.035722344,NA,NA,100
95,ENW,ENW_5_spoamisk_150219.wav,n,c ,NA,,,,n,1,1.718950293,NA,NA,100
50,EFW,EFW_20_fenomen_070319.wav,j,c ,NA,,,,j,1,1.169040791,NA,NA,100
79,EFW,EFW_49_vaasen_070319.wav,j,c ,NA,,,,j,1,1.235957736,NA,NA,100
114,ENW,ENW_24_samjoner_150219.wav,n,c ,NA,,,,n,1,2.219199067,NA,NA,100
35,EFW,EFW_5_samhaalle_070319.wav,j,c ,NA,,,,j,1,1.50280004,NA,NA,100
82,EFW,EFW_52_framhoalla_070319.wav,j,c ,NA,,,,j,1,1.302398129,NA,NA,100
43,EFW,EFW_13_elever_070319.wav,j,c ,NA,,,,j,1,1.169100401,NA,NA,100
126,ENW,ENW_36_skymlosa_150219.wav,n,c ,NA,,,,n,1,2.785876285,NA,NA,100
58,EFW,EFW_28_olja_070319.wav,j,c ,NA,,,,j,1,0.919851953,NA,NA,100
66,EFW,EFW_36_haarifroan_070319.wav,j,c ,NA,,,,j,1,1.235770936,NA,NA,100
91,ENW,ENW_1_norsimerar_150219.wav,n,c ,NA,,,,n,1,1.619785306,NA,NA,100
38,EFW,EFW_8_samman_070319.wav,j,c ,NA,,,,j,1,1.186366306,NA,NA,100
48,EFW,EFW_18_nummer_070319.wav,j,c ,NA,,,,j,1,1.302717832,NA,NA,100
172,ENW,ENW_82_värskappa_150219.wav,n,c ,NA,,,,n,1,1.619023252,NA,NA,100
176,ENW,ENW_86_heloppsin_150219.wav,n,c ,NA,,,,n,1,2.752961458,NA,NA,100
163,ENW,ENW_73_vimmankalla_150219.wav,n,c ,NA,,,,n,1,2.7190273,NA,NA,100
10,ECW,ECW_10_flisa_070319.wav,j,c ,NA,,,,j,1,1.219069998,NA,NA,100
162,ENW,ENW_72_urskecken_150219.wav,n,c ,NA,,,,n,1,2.936477771,NA,NA,100
125,ENW,ENW_35_nymaljen_150219.wav,n,c ,NA,,,,n,1,1.686274564,NA,NA,100
28,ECW,ECW_28_maskinerna_070319.wav,j,c ,NA,,,,j,1,1.302729656,NA,NA,100
