Subject,Session,Sound,Spelling1.ACC,Spelling1.RT,Word,Block,Group,participant
14,2,t,1,937,knot,1,control,214
14,2,t,1,1314,seat,1,control,214
14,2,d,1,1630,feed,1,control,214
14,2,t,1,1044,pat,1,control,214
14,2,d,1,1804,raid,1,control,214
14,2,t,1,1343,sat,1,control,214
14,2,t,1,954,hit,1,control,214
14,2,t,1,1290,fort,1,control,214
14,2,t,1,1341,wheat,1,control,214
14,2,t,1,1083,mat,1,control,214
14,2,d,1,1569,heed,1,control,214
14,2,t,1,1358,cent,1,control,214
14,2,d,1,1006,dead,1,control,214
14,2,d,1,1215,laid,1,control,214
14,2,d,1,1579,side,1,control,214
14,2,d,1,1810,mode,1,control,214
14,2,t,1,1170,wait,1,control,214
14,2,t,1,1220,font,1,control,214
14,2,d,1,1487,cod,1,control,214
14,2,d,1,1211,rude,1,control,214
14,2,t,1,1864,court,1,control,214
14,2,d,1,1218,card,1,control,214
14,2,d,1,1500,kid,1,control,214
14,2,d,1,1055,mood,1,control,214
14,2,t,1,1381,sweet,1,control,214
14,2,t,1,1745,wrote,1,control,214
14,2,t,1,1389,chart,1,control,214
14,2,t,1,1275,plot,1,control,214
14,2,t,1,1300,wet,1,control,214
14,2,d,1,2065,hard,1,control,214
14,2,t,1,1363,fat,1,control,214
14,2,t,1,1146,set,1,control,214
14,2,t,1,1723,colt,1,control,214
14,2,d,1,1961,node,1,control,214
14,2,t,1,1375,rot,2,control,214
14,2,t,1,970,heat,2,control,214
14,2,t,0,1101,sight,2,control,214
14,2,d,0,905,plod,2,control,214
14,2,d,1,953,owed,2,control,214
14,2,t,0,1303,late,2,control,214
14,2,t,1,1037,mutt,2,control,214
14,2,d,1,1127,nod,2,control,214
14,2,t,0,1191,heart,2,control,214
14,2,d,0,1053,ride,2,control,214
14,2,d,1,1806,hide,2,control,214
14,2,t,1,1377,pleat,2,control,214
14,2,d,1,1407,road,2,control,214
14,2,t,0,978,note,2,control,214
14,2,t,0,1057,moot,2,control,214
14,2,d,1,1251,spade,2,control,214
14,2,t,1,1128,mount,2,control,214
14,2,d,1,1091,cold,2,control,214
14,2,d,1,1559,ford,2,control,214
14,2,t,1,946,feet,2,control,214
14,2,d,1,1459,played,2,control,214
14,2,d,0,1091,wade,2,control,214
14,2,t,1,1039,hat,2,control,214
14,2,d,0,1163,code,2,control,214
14,2,d,1,1080,weed,2,control,214
14,2,d,1,1261,hid,2,control,214
14,2,t,1,1215,rate,2,control,214
14,2,t,1,1084,cart,2,control,214
14,2,t,1,1023,eight,2,control,214
14,2,t,0,1134,slit,2,control,214
14,2,t,1,1154,hurt,2,control,214
14,2,d,0,1176,wed,2,control,214
14,2,d,1,1348,send,2,control,214
14,2,t,1,1112,neat,2,control,214
14,2,t,1,1726,fright,2,control,214
14,2,t,0,887,moat,2,control,214
14,2,d,0,903,fad,2,control,214
14,2,d,1,1121,seed,2,control,214
14,2,t,0,1421,mate,2,control,214
14,2,d,1,1219,fond,2,control,214
14,2,t,1,1089,meat,2,control,214
14,2,d,0,1101,mad,2,control,214
14,2,d,1,1525,said,2,control,214
14,2,d,1,1339,wide,2,control,214
14,2,d,0,1805,Swede,2,control,214
14,2,d,0,1187,pad,2,control,214
14,2,t,0,1234,root,2,control,214
14,2,d,1,1708,charred,2,control,214
14,2,t,0,1873,let,2,control,214
14,2,t,1,1398,cot,2,control,214
14,2,t,0,1639,kit,2,control,214
14,2,d,1,1330,sad,2,control,214
14,2,t,1,1330,pot,2,control,214
14,2,d,1,1311,skid,2,control,214
14,2,t,1,1527,meant,2,control,214
14,2,d,1,1115,slide,2,control,214
14,2,t,1,1652,debt,2,control,214
14,2,t,1,1298,fate,2,control,214
14,2,d,1,1179,cued,2,control,214
14,2,d,1,1428,cord,2,control,214
15,2,d,0,1106,pod,1,control,215
15,2,d,0,1388,hard,1,control,215
15,2,d,0,1251,rod,1,control,215
15,2,d,0,1328,plead,1,control,215
15,2,d,0,1023,mud,1,control,215
15,2,d,0,972,made,1,control,215
15,2,d,0,1069,laid,1,control,215
15,2,d,0,977,feed,1,control,215
15,2,d,0,1051,herd,1,control,215
15,2,d,0,1059,node,1,control,215
15,2,d,0,1469,heed,1,control,215
15,2,t,0,1805,height,1,control,215
15,2,d,0,1452,need,1,control,215
15,2,d,0,1103,had,1,control,215
15,2,d,0,1060,mound,1,control,215
15,2,d,0,1472,fried,1,control,215
15,2,d,0,1481,led,1,control,215
15,2,d,0,985,mode,1,control,215
15,2,t,0,1565,seat,1,control,215
15,2,d,0,1130,fade,1,control,215
15,2,d,0,1406,rude,1,control,215
15,2,d,0,1391,cod,1,control,215
15,2,t,0,1236,cute,1,control,215
15,2,d,0,1495,mood,1,control,215
15,2,d,0,1219,aid,1,control,215
15,2,d,0,1224,raid,1,control,215
15,2,d,0,968,mead,1,control,215
15,2,t,0,1176,slight,1,control,215
15,2,d,1,1369,card,1,control,215
15,2,t,1,1379,oat,1,control,215
15,2,d,1,1353,side,1,control,215
15,2,t,1,1314,hit,1,control,215
15,2,d,1,1056,dead,1,control,215
15,2,d,1,1556,mend,1,control,215
15,2,t,1,1678,plate,1,control,215
15,2,t,1,1291,court,1,control,215
15,2,t,1,1243,plot,1,control,215
15,2,t,1,1151,coat,1,control,215
15,2,d,1,1081,slid,1,control,215
15,2,t,1,1303,wheat,1,control,215
15,2,t,1,1515,cent,1,control,215
15,2,t,1,1145,sweet,1,control,215
15,2,t,1,1192,chart,1,control,215
15,2,t,1,1167,wet,1,control,215
15,2,t,1,1026,mat,1,control,215
15,2,t,1,1272,white,1,control,215
15,2,t,1,1289,fat,1,control,215
15,2,t,1,1258,colt,1,control,215
15,2,t,1,1097,font,1,control,215
15,2,t,1,1258,skit,1,control,215
15,2,t,1,1083,wait,1,control,215
15,2,d,1,1287,kid,1,control,215
15,2,t,1,1144,pat,1,control,215
15,2,t,1,1513,sat,1,control,215
15,2,t,1,1566,right,1,control,215
15,2,t,1,1322,fort,1,control,215
15,2,t,1,1255,spate,1,control,215
15,2,t,1,1363,wrote,1,control,215
15,2,t,1,1141,knot,1,control,215
15,2,t,1,1596,set,1,control,215
15,2,t,1,1391,kit,2,control,215
15,2,t,1,1229,note,2,control,215
15,2,t,1,1380,debt,2,control,215
15,2,t,1,1307,fright,2,control,215
