Speaker,Sound,Word,set,burst,closure,vowel,phon_ctxt_stress,syllable,Item.Word,onset_has_nasal,onset_has_lateral,onset_has_rhotic,coda_has_nasal,coda_has_lateral,coda_has_rhotic,has_long_vowel,Syllable_duration,Word_duration
E1,/t/,vet,3,0.169,0.108,0.112,yes,1,vet,no,no,no,no,no,no,no,0.451,0.451
E1,/t/,wait,1,0.103,0.072,0.087,yes,1,wait,no,no,no,no,no,no,no,0.33,0.33
E1,/t/,wait,2,0.101,0.087,0.081,yes,1,wait,no,no,no,no,no,no,no,0.36,0.36
E1,/t/,wait,3,0.09,0.083,0.097,yes,1,wait,no,no,no,no,no,no,no,0.349,0.349
E1,/t/,white,1,0.126,0.091,0.084,yes,1,white,no,no,no,no,no,no,yes,0.361,0.361
E1,/t/,white,2,0.191,0.089,0.069,yes,1,white,no,no,no,no,no,no,yes,0.427,0.427
E1,/t/,white,3,0.167,0.1,0.063,yes,1,white,no,no,no,no,no,no,yes,0.438,0.438
E10,/d/,bad,1,0.092,0.038,0.322,yes,1,bad,no,no,no,no,no,no,no,0.476,0.476
E10,/d/,bad,2,0.069,0.052,0.355,yes,1,bad,no,no,no,no,no,no,no,0.491,0.491
E10,/d/,bad,3,0.099,0.038,0.306,yes,1,bad,no,no,no,no,no,no,no,0.458,0.458
E10,/d/,bed,1,0.094,0.051,0.188,yes,1,bed,no,no,no,no,no,no,no,0.349,0.349
E10,/d/,bed,2,0.116,0.059,0.177,yes,1,bed,no,no,no,no,no,no,no,0.37,0.37
E10,/d/,bed,3,0.115,0.058,0.174,yes,1,bed,no,no,no,no,no,no,no,0.373,0.373
E10,/d/,bud,1,0.098,0.043,0.194,yes,1,bud,no,no,no,no,no,no,no,0.453,0.453
E10,/d/,bud,2,0.107,0.036,0.208,yes,1,bud,no,no,no,no,no,no,no,0.407,0.407
E10,/d/,bud,3,0.083,0.033,0.2,yes,1,bud,no,no,no,no,no,no,no,0.356,0.356
E10,/d/,cooed,1,0.078,0.04,0.291,yes,1,cooed,no,no,no,no,no,no,no,0.54,0.54
E10,/d/,cooed,2,0.111,0.046,0.304,yes,1,cooed,no,no,no,no,no,no,no,0.543,0.543
E10,/d/,cooed,3,0.116,0.038,0.29,yes,1,cooed,no,no,no,no,no,no,no,0.57,0.57
E10,/t/,cut,1,0.147,0.118,0.131,yes,1,cut,no,no,no,no,no,no,no,0.492,0.492
E10,/t/,cut,2,0.165,0.142,0.159,yes,1,cut,no,no,no,no,no,no,no,0.553,0.553
E10,/t/,cut,3,0.192,0.114,0.152,yes,1,cut,no,no,no,no,no,no,no,0.571,0.571
E10,/d/,feed,1,0.106,0.034,0.241,yes,1,feed,no,no,no,no,no,no,no,0.426,0.426
E10,/d/,feed,2,0.129,0.041,0.239,yes,1,feed,no,no,no,no,no,no,no,0.496,0.496
E10,/d/,feed,3,0.1,0.032,0.23,yes,1,feed,no,no,no,no,no,no,no,0.407,0.407
E10,/t/,feet,1,0.125,0.125,0.12,yes,1,feet,no,no,no,no,no,no,no,0.425,0.425
E10,/t/,feet,2,0.144,0.12,0.127,yes,1,feet,no,no,no,no,no,no,no,0.457,0.457
E10,/t/,feet,3,0.087,0.106,0.134,yes,1,feet,no,no,no,no,no,no,no,0.379,0.379
E10,/d/,gild,1,0.114,0.076,0.326,yes,1,gild,no,no,no,no,yes,no,no,0.646,0.646
E10,/d/,gild,2,0.127,0.043,0.346,yes,1,gild,no,no,no,no,yes,no,no,0.644,0.644
E10,/d/,god,1,0.088,0.047,0.274,yes,1,god,no,no,no,no,no,no,no,0.446,0.446
E10,/d/,god,2,0.087,0.034,0.303,yes,1,god,no,no,no,no,no,no,no,0.453,0.453
E10,/d/,god,3,0.09,0.023,0.282,yes,1,god,no,no,no,no,no,no,no,0.424,0.424
E10,/d/,good,1,0.116,0.045,0.18,yes,1,good,no,no,no,no,no,no,no,0.468,0.468
E10,/d/,good,2,0.136,0.062,0.191,yes,1,good,no,no,no,no,no,no,no,0.424,0.424
E10,/d/,good,3,0.123,0.07,0.172,yes,1,good,no,no,no,no,no,no,no,0.399,0.399
E10,/t/,got,1,0.095,0.117,0.208,yes,1,got,no,no,no,no,no,no,no,0.448,0.448
E10,/t/,got,2,0.088,0.111,0.229,yes,1,got,no,no,no,no,no,no,no,0.456,0.456
E10,/t/,got,3,0.095,0.138,0.222,yes,1,got,no,no,no,no,no,no,no,0.484,0.484
E10,/d/,killed,1,0.119,0.023,0.225,yes,1,killed,no,no,no,no,yes,no,no,0.461,0.461
E10,/d/,killed,2,0.11,0.024,0.214,yes,1,killed,no,no,no,no,yes,no,no,0.495,0.495
E10,/d/,killed,3,0.101,0.036,0.247,yes,1,killed,no,no,no,no,yes,no,no,0.483,0.483
E10,/d/,lad,1,0.068,0.044,0.265,yes,1,lad,no,yes,no,no,no,no,no,0.46,0.46
E10,/d/,lad,2,0.088,0.05,0.25,yes,1,lad,no,yes,no,no,no,no,no,0.489,0.489
E10,/d/,lad,3,0.09,0.054,0.216,yes,1,lad,no,yes,no,no,no,no,no,0.423,0.423
E10,/t/,late,1,0.178,0.121,0.173,yes,1,late,no,yes,no,no,no,no,no,0.534,0.534
E10,/t/,late,2,0.137,0.121,0.149,yes,1,late,no,yes,no,no,no,no,no,0.509,0.509
E10,/t/,late,3,0.132,0.123,0.139,yes,1,late,no,yes,no,no,no,no,no,0.454,0.454
E10,/t/,neat,1,0.086,0.125,0.132,yes,1,neat,yes,no,no,no,no,no,no,0.44,0.44
E10,/t/,neat,2,0.089,0.126,0.14,yes,1,neat,yes,no,no,no,no,no,no,0.465,0.465
E10,/t/,neat,3,0.083,0.119,0.128,yes,1,neat,yes,no,no,no,no,no,no,0.46,0.46
E10,/d/,need,1,0.089,0.037,0.226,yes,1,need,yes,no,no,no,no,no,no,0.493,0.493
E10,/d/,need,2,0.095,0.044,0.235,yes,1,need,yes,no,no,no,no,no,no,0.508,0.508
E10,/d/,need,3,0.104,0.029,0.209,yes,1,need,yes,no,no,no,no,no,no,0.444,0.444
E10,/t/,night,1,0.084,0.106,0.204,yes,1,night,yes,no,no,no,no,no,yes,0.493,0.493
E10,/t/,night,2,0.146,0.122,0.209,yes,1,night,yes,no,no,no,no,no,yes,0.571,0.571
E10,/t/,night,3,0.133,0.135,0.223,yes,1,night,yes,no,no,no,no,no,yes,0.608,0.608
E10,/t/,not,1,0.093,0.14,0.195,yes,1,not,yes,no,no,no,no,no,no,0.521,0.521
E10,/t/,not,2,0.086,0.107,0.216,yes,1,not,yes,no,no,no,no,no,no,0.545,0.545
E10,/t/,not,3,0.076,0.123,0.215,yes,1,not,yes,no,no,no,no,no,no,0.515,0.515
E10,/t/,pat,1,0.116,0.124,0.191,yes,1,pat,no,no,no,no,no,no,no,0.49,0.49
E10,/t/,pat,2,0.105,0.159,0.232,yes,1,pat,no,no,no,no,no,no,no,0.567,0.567
E10,/t/,pat,3,0.11,0.196,0.121,yes,1,pat,no,no,no,no,no,no,no,0.591,0.591
E10,/t/,pet,1,0.188,0.161,0.12,yes,1,pet,no,no,no,no,no,no,no,0.541,0.541
E10,/t/,pet,2,0.158,0.197,0.135,yes,1,pet,no,no,no,no,no,no,no,0.539,0.539
E10,/t/,pet,3,0.197,0.161,0.088,yes,1,pet,no,no,no,no,no,no,no,0.619,0.619
E10,/t/,pot,1,0.133,0.155,0.173,yes,1,pot,no,no,no,no,no,no,no,0.533,0.533
E10,/t/,pot,2,0.112,0.149,0.161,yes,1,pot,no,no,no,no,no,no,no,0.543,0.543
E10,/t/,pot,3,0.176,0.122,0.155,yes,1,pot,no,no,no,no,no,no,no,0.581,0.581
E10,/t/,pout,1,0.19,0.113,0.208,yes,1,pout,no,no,no,no,no,no,yes,0.62,0.62
E10,/t/,pout,2,0.138,0.146,0.163,yes,1,pout,no,no,no,no,no,no,yes,0.559,0.559
E10,/t/,pout,3,0.118,0.096,0.19,yes,1,pout,no,no,no,no,no,no,yes,0.473,0.473
E10,/t/,put,1,0.133,0.173,0.127,yes,1,put,no,no,no,no,no,no,no,0.492,0.492
E10,/t/,put,2,0.12,0.143,0.116,yes,1,put,no,no,no,no,no,no,no,0.46,0.46
E10,/t/,put,3,0.116,0.169,0.091,yes,1,put,no,no,no,no,no,no,no,0.449,0.449
E10,/d/,ride,1,0.055,0.052,0.294,yes,1,ride,no,no,yes,no,no,no,yes,0.564,0.564
E10,/d/,ride,2,0.12,0.043,0.281,yes,1,ride,no,no,yes,no,no,no,yes,0.55,0.55
E10,/d/,ride,3,0.133,0.056,0.217,yes,1,ride,no,no,yes,no,no,no,yes,0.525,0.525
E10,/d/,rod,1,0.1,0.038,0.3,yes,1,rod,no,no,yes,no,no,no,no,0.562,0.562
E10,/d/,rod,2,0.144,0.063,0.227,yes,1,rod,no,no,yes,no,no,no,no,0.62,0.62
E10,/d/,rod,3,0.102,0.042,0.211,yes,1,rod,no,no,yes,no,no,no,no,0.5,0.5
E10,/d/,rode,1,0.199,0.026,0.265,yes,1,rode,no,no,yes,no,no,no,no,0.623,0.623
E10,/d/,rode,2,0.2,0.042,0.223,yes,1,rode,no,no,yes,no,no,no,no,0.683,0.683
E10,/d/,rode,3,0.16,0.041,0.203,yes,1,rode,no,no,yes,no,no,no,no,0.599,0.599
E10,/d/,sad,1,0.103,0.042,0.294,yes,1,sad,no,no,no,no,no,no,no,0.639,0.639
