Speaker,sound,word,set,rhyme,word_duration,cues,burst,closure,vowel
E11,t,soot,3,456,781.0000005,raw,198,129,129
E11,t,vet,1,527,684.0000002,raw,262,106,159
E11,t,vet,2,493,682.9999998,raw,211,105,177
E11,t,vet,3,528,685.0000006,raw,230,156,142
E11,t,wait,1,537,708.9999995,raw,249,101,187
E11,t,wait,2,526,747.9999991,raw,227,100,199
E11,t,wait,3,515,739.9999999,raw,205,177,133
E11,t,white,1,458,670.9999993,raw,182,150,126
E11,t,white,2,467,706.0000009,raw,204,86,177
E11,t,white,3,512,739.0000002,raw,218,154,140
E12,d,bad,1,388,410.9999998,raw,103,31,254
E12,d,bad,2,408,417.0000001,raw,111,39,258
E12,d,bad,3,325,339,raw,51,40,234
E12,d,bed,1,296,318,raw,82,45,169
E12,d,bed,2,301,311.0000001,raw,65,44,192
E12,d,bed,3,284,293.9999999,raw,55,58,171
E12,d,bud,1,350,383.0000005,raw,95,55,200
E12,d,bud,2,334,354.9999998,raw,83,66,185
E12,d,bud,3,389,404.0000001,raw,143,55,191
E12,t,but,1,219,235.0000002,raw,32,30,157
E12,t,but,2,193,232.9999998,raw,36,28,129
E12,d,cooed,1,364,430.9999999,raw,94,46,224
E12,d,cooed,2,379,455.9999999,raw,123,52,204
E12,d,cooed,3,318,400,raw,79,40,199
E12,d,feed,1,322,461.9999993,raw,77,40,205
E12,d,feed,2,388,471.0000001,raw,113,50,225
E12,d,feed,3,329,474.0000007,raw,83,41,205
E12,t,feet,1,344,426,raw,142,63,139
E12,t,feet,2,357,398.9999996,raw,149,61,147
E12,t,feet,3,268,331.0000003,raw,92,55,121
E12,d,find,1,450,507.0000003,raw,89,32,329
E12,d,find,2,458,522.9999995,raw,85,39,334
E12,d,find,3,406,474.0000002,raw,61,11,334
E12,d,fond,1,378,484.0000003,raw,50,16,312
E12,d,fond,2,385,476.9999998,raw,49,16,320
E12,d,fond,3,402,441.9999997,raw,81,22,299
E12,d,gild,1,397,435.0000001,raw,101,50,246
E12,d,gild,2,384,440.9999997,raw,102,83,199
E12,d,gild,3,361,396.9999997,raw,100,58,203
E12,d,god,1,365,389,raw,78,37,250
E12,d,god,2,392,426.0000002,raw,92,41,259
E12,d,god,3,383,411.9999998,raw,100,48,235
E12,d,good,1,309,339.9999998,raw,72,44,193
E12,d,good,2,289,317.9999998,raw,66,43,180
E12,d,good,3,299,326.9999999,raw,61,49,189
E12,d,killed,1,317,361.0000002,raw,61,27,229
E12,d,killed,2,337,393.0000001,raw,57,65,215
E12,d,killed,3,353,408.0000002,raw,67,57,229
E12,d,lad,1,287,386,raw,68,33,186
E12,d,lad,2,266,380.9999998,raw,65,33,168
E12,d,lad,3,274,433.0000002,raw,87,31,156
E12,t,late,1,275,374.9999997,raw,25,99,151
E12,t,neat,1,385,507.9999998,raw,162,92,131
E12,t,neat,2,381,531.0000002,raw,130,99,152
E12,t,neat,3,416,482.0000002,raw,137,91,188
E12,d,need,1,340,442.0000001,raw,99,27,214
E12,d,need,2,345,447.0000003,raw,80,45,220
E12,d,need,3,358,454.0000003,raw,87,53,218
E12,t,not,1,356,458.0000002,raw,48,133,175
E12,t,not,2,373,490.9999996,raw,107,101,165
E12,t,pat,1,351,403.9999996,raw,80,123,148
E12,t,pat,2,340,425,raw,73,127,140
E12,t,pet,1,522,561.0000003,raw,238,141,143
E12,t,pet,2,650,697.9999998,raw,192,170,288
E12,d,pond,1,358,403.9999999,raw,52,22,284
E12,d,pond,2,399,461.9999998,raw,76,24,299
E12,d,pond,3,384,442.0000003,raw,78,16,290
E12,d,pound,1,397,448.0000001,raw,63,7,327
E12,d,pound,2,384,427.0000004,raw,54,9,321
E12,t,put,1,327,381.9999997,raw,39,144,144
E12,t,put,2,173,234.0000001,raw,20,48,105
E12,d,ride,1,330,434.0000003,raw,104,37,189
E12,d,ride,2,296,446,raw,72,31,193
E12,d,ride,3,258,448.0000001,raw,77,53,128
E12,d,rod,1,303,412.0000001,raw,86,40,177
E12,d,rod,2,272,432.0000004,raw,84,49,139
E12,d,rod,3,254,422.9999995,raw,55,45,154
E12,d,rode,1,351,458.0000005,raw,125,37,189
E12,d,rode,2,279,436.9999999,raw,85,39,155
E12,d,rode,3,238,385.9999999,raw,75,43,120
