Word,Sound,Block.Type,phon_ctxt_stress,onset_has_nasal,onset_has_lateral,onset_has_rhotic,coda_has_nasal,coda_has_lateral,coda_has_rhotic,coda_has_fricative,has_long_vowel,syllable,burst,closure,vowel,Item.Word,Item.WordID,Item.MinimalPair,word_duration,syllable_duration,syllable_id,num_of_segments
pod,/d/,test,yes,no,no,no,no,no,no,no,no,1,0.071,0.083,0.173,pod,E82,E41,0.43,0.43,pod,3
pot,/t/,test,yes,no,no,no,no,no,no,no,no,1,0.117,0.056,0.173,pot,E83,E41,0.522,0.522,pot,3
raid,/d/,test,yes,no,no,yes,no,no,no,no,no,1,0.091,0.071,0.155,raid,E84,E42,0.567,0.567,raid,3
rate,/t/,test,yes,no,no,yes,no,no,no,no,no,1,0.107,0.047,0.146,rate,E85,E42,0.572,0.572,rate,3
ride,/d/,test,yes,no,no,yes,no,no,no,no,yes,1,0.081,0.073,0.2,ride,E86,E43,0.591,0.591,ride,3
right,/t/,test,yes,no,no,yes,no,no,no,no,yes,1,0.124,0.064,0.209,right,E87,E43,0.668,0.668,right,3
road,/d/,test,yes,no,no,yes,no,no,no,no,yes,1,0.055,0.045,0.196,road,E88,E44,0.534,0.534,road,3
rod,/d/,test,yes,no,no,yes,no,no,no,no,no,1,0.07,0.07,0.178,rod,E89,E45,0.497,0.497,rod,3
root,/t/,test,yes,no,no,yes,no,no,no,no,no,1,0.13,0.035,0.136,root,E90,E46,0.58,0.58,root,3
rot,/t/,test,yes,no,no,yes,no,no,no,no,no,1,0.126,0.068,0.166,rot,E91,E45,0.633,0.633,rot,3
rude,/d/,test,yes,no,no,yes,no,no,no,no,no,1,0.062,0.066,0.157,rude,E92,E46,0.454,0.454,rude,3
sad,/d/,test,yes,no,no,no,no,no,no,no,no,1,0.04,0.056,0.226,sad,E93,E47,0.6,0.6,sad,3
said,/d/,test,yes,no,no,no,no,no,no,no,no,1,0.053,0.065,0.187,said,E94,E48,0.572,0.572,said,3
sat,/t/,test,yes,no,no,no,no,no,no,no,no,1,0.105,0.07,0.199,sat,E95,E47,0.618,0.618,sat,3
seat,/t/,test,yes,no,no,no,no,no,no,no,no,1,0.115,0.066,0.21,seat,E96,E49,0.676,0.676,seat,3
seed,/d/,test,yes,no,no,no,no,no,no,no,no,1,0.076,0.064,0.166,seed,E97,E49,0.569,0.569,seed,3
send,/d/,test,yes,no,no,no,yes,no,no,no,no,1,0.057,0.06,0.266,send,E98,E50,0.616,0.616,send,4
set,/t/,test,yes,no,no,no,no,no,no,no,no,1,0.095,0.069,0.224,set,E99,E48,0.661,0.661,set,3
side,/d/,test,yes,no,no,no,no,no,no,no,yes,1,0.046,0.061,0.229,side,E100,E51,0.648,0.648,side,3
sight,/t/,test,yes,no,no,no,no,no,no,no,yes,1,0.151,0.031,0.27,sight,E101,E51,0.734,0.734,sight,3
