Speaker,Sound,Word,set,burst,closure,vowel,phon_ctxt_stress,phon_pre_nasal,phon_post_nasal,syllable,Item.Word
E10,/d/,gild,2,0.127,0.043,0.346,yes,yes,no,1,gild
E10,/d/,god,1,0.088,0.047,0.274,yes,no,no,1,god
E10,/d/,god,2,0.087,0.034,0.303,yes,no,no,1,god
E10,/d/,god,3,0.09,0.023,0.282,yes,no,no,1,god
E10,/d/,good,1,0.116,0.045,0.18,yes,no,no,1,good
E10,/d/,good,2,0.136,0.062,0.191,yes,no,no,1,good
E10,/d/,good,3,0.123,0.07,0.172,yes,no,no,1,good
E10,/t/,got,1,0.095,0.117,0.208,yes,no,no,1,got
E10,/t/,got,2,0.088,0.111,0.229,yes,no,no,1,got
E10,/t/,got,3,0.095,0.138,0.222,yes,no,no,1,got
E10,/d/,killed,1,0.119,0.023,0.225,yes,yes,no,1,killed
E10,/d/,killed,2,0.11,0.024,0.214,yes,yes,no,1,killed
E10,/d/,killed,3,0.101,0.036,0.247,yes,yes,no,1,killed
E10,/d/,lad,1,0.068,0.044,0.265,yes,no,yes,1,lad
E10,/d/,lad,2,0.088,0.05,0.25,yes,no,yes,1,lad
E10,/d/,lad,3,0.09,0.054,0.216,yes,no,yes,1,lad
E10,/t/,late,1,0.178,0.121,0.173,yes,no,yes,1,late
E10,/t/,late,2,0.137,0.121,0.149,yes,no,yes,1,late
E10,/t/,late,3,0.132,0.123,0.139,yes,no,yes,1,late
E10,/t/,neat,1,0.086,0.125,0.132,yes,no,yes,1,neat
E10,/t/,neat,2,0.089,0.126,0.14,yes,no,yes,1,neat
E10,/t/,neat,3,0.083,0.119,0.128,yes,no,yes,1,neat
E10,/d/,need,1,0.089,0.037,0.226,yes,no,yes,1,need
E10,/d/,need,2,0.095,0.044,0.235,yes,no,yes,1,need
E10,/d/,need,3,0.104,0.029,0.209,yes,no,yes,1,need
E10,/t/,night,1,0.084,0.106,0.204,yes,no,yes,1,night
E10,/t/,night,2,0.146,0.122,0.209,yes,no,yes,1,night
E10,/t/,night,3,0.133,0.135,0.223,yes,no,yes,1,night
E10,/t/,not,1,0.093,0.14,0.195,yes,no,yes,1,not
E10,/t/,not,2,0.086,0.107,0.216,yes,no,yes,1,not
E10,/t/,not,3,0.076,0.123,0.215,yes,no,yes,1,not
E10,/t/,pat,1,0.116,0.124,0.191,yes,no,no,1,pat
E10,/t/,pat,2,0.105,0.159,0.232,yes,no,no,1,pat
E10,/t/,pat,3,0.11,0.196,0.121,yes,no,no,1,pat
E10,/t/,pet,1,0.188,0.161,0.12,yes,no,no,1,pet
E10,/t/,pet,2,0.158,0.197,0.135,yes,no,no,1,pet
E10,/t/,pet,3,0.197,0.161,0.088,yes,no,no,1,pet
E10,/t/,pot,1,0.133,0.155,0.173,yes,no,no,1,pot
E10,/t/,pot,2,0.112,0.149,0.161,yes,no,no,1,pot
E10,/t/,pot,3,0.176,0.122,0.155,yes,no,no,1,pot
E10,/t/,pout,1,0.19,0.113,0.208,yes,no,no,1,pout
E10,/t/,pout,2,0.138,0.146,0.163,yes,no,no,1,pout
E10,/t/,pout,3,0.118,0.096,0.19,yes,no,no,1,pout
E10,/t/,put,1,0.133,0.173,0.127,yes,no,no,1,put
E10,/t/,put,2,0.12,0.143,0.116,yes,no,no,1,put
E10,/t/,put,3,0.116,0.169,0.091,yes,no,no,1,put
E10,/d/,ride,1,0.055,0.052,0.294,yes,no,yes,1,ride
E10,/d/,ride,2,0.12,0.043,0.281,yes,no,yes,1,ride
E10,/d/,ride,3,0.133,0.056,0.217,yes,no,yes,1,ride
E10,/d/,rod,1,0.1,0.038,0.3,yes,no,yes,1,rod
E10,/d/,rod,2,0.144,0.063,0.227,yes,no,yes,1,rod
E10,/d/,rod,3,0.102,0.042,0.211,yes,no,yes,1,rod
E10,/d/,rode,1,0.199,0.026,0.265,yes,no,yes,1,rode
E10,/d/,rode,2,0.2,0.042,0.223,yes,no,yes,1,rode
E10,/d/,rode,3,0.16,0.041,0.203,yes,no,yes,1,rode
E10,/d/,sad,1,0.103,0.042,0.294,yes,no,no,1,sad
E10,/d/,sad,2,0.069,0.048,0.323,yes,no,no,1,sad
E10,/d/,sad,3,0.106,0.034,0.302,yes,no,no,1,sad
E10,/d/,said,1,0.058,0.051,0.184,yes,no,no,1,said
E10,/d/,said,2,0.108,0.059,0.198,yes,no,no,1,said
E10,/d/,said,3,0.082,0.059,0.154,yes,no,no,1,said
E10,/t/,shot,1,0.091,0.162,0.171,yes,no,no,1,shot
E10,/t/,shot,2,0.105,0.124,0.185,yes,no,no,1,shot
E10,/t/,shot,3,0.076,0.116,0.19,yes,no,no,1,shot
E10,/t/,shout,1,0.136,0.129,0.246,yes,no,no,1,shout
E10,/t/,shout,2,0.142,0.097,0.249,yes,no,no,1,shout
E10,/t/,shout,3,0.114,0.103,0.196,yes,no,no,1,shout
E10,/t/,silt,1,0.122,0.161,0.13,yes,yes,no,1,silt
E10,/t/,silt,2,0.117,0.151,0.135,yes,yes,no,1,silt
E10,/t/,silt,3,0.101,0.123,0.153,yes,yes,no,1,silt
E10,/t/,sit,1,0.114,0.131,0.122,yes,no,no,1,sit
E10,/t/,sit,2,0.111,0.139,0.108,yes,no,no,1,sit
E10,/t/,sit,3,0.072,0.132,0.077,yes,no,no,1,sit
E10,/d/,slide,1,0.07,0.046,0.278,yes,no,no,1,slide
E10,/d/,slide,2,0.116,0.032,0.254,yes,no,no,1,slide
E10,/d/,slide,3,0.094,0.032,0.237,yes,no,no,1,slide
E10,/t/,soot,1,0.107,0.128,0.118,yes,no,no,1,soot
E10,/t/,soot,2,0.099,0.116,0.155,yes,no,no,1,soot
E10,/t/,soot,3,0.087,0.122,0.131,yes,no,no,1,soot
E10,/t/,vet,1,0.097,0.101,0.168,yes,no,no,1,vet
E10,/t/,vet,2,0.104,0.115,0.2,yes,no,no,1,vet
E10,/t/,vet,3,0.092,0.147,0.145,yes,no,no,1,vet
E10,/t/,wait,1,0.08,0.167,0.127,yes,no,no,1,wait
E10,/t/,wait,2,0.088,0.187,0.095,yes,no,no,1,wait
E10,/t/,wait,3,0.084,0.168,0.127,yes,no,no,1,wait
E10,/t/,white,1,0.11,0.158,0.127,yes,no,no,1,white
E10,/t/,white,2,0.09,0.125,0.096,yes,no,no,1,white
E10,/t/,white,3,0.115,0.143,0.091,yes,no,no,1,white
E11,/d/,bad,1,0.115,0.089,0.311,yes,no,no,1,bad
E11,/d/,bad,2,0.14,0.089,0.344,yes,no,no,1,bad
E11,/d/,bad,3,0.185,0.081,0.335,yes,no,no,1,bad
E11,/d/,bed,1,0.177,0.096,0.205,yes,no,no,1,bed
E11,/d/,bed,2,0.143,0.102,0.213,yes,no,no,1,bed
E11,/d/,bed,3,0.113,0.108,0.205,yes,no,no,1,bed
E11,/d/,bud,1,0.184,0.109,0.201,yes,no,no,1,bud
E11,/d/,bud,2,0.105,0.144,0.239,yes,no,no,1,bud
E11,/d/,bud,3,0.106,0.111,0.251,yes,no,no,1,bud
E11,/t/,but,1,0.247,0.172,0.137,yes,no,no,1,but
E11,/t/,but,2,0.206,0.173,0.163,yes,no,no,1,but
E11,/t/,but,3,0.19,0.125,0.173,yes,no,no,1,but
E11,/d/,cooed,1,0.149,0.064,0.242,yes,no,no,1,cooed
E11,/d/,cooed,2,0.154,0.085,0.25,yes,no,no,1,cooed
E11,/d/,cooed,3,0.142,0.074,0.265,yes,no,no,1,cooed
E11,/t/,cut,1,0.179,0.132,0.117,yes,no,no,1,cut
E11,/t/,cut,2,0.187,0.129,0.157,yes,no,no,1,cut
E11,/t/,cut,3,0.157,0.134,0.13,yes,no,no,1,cut
E11,/d/,feed,1,0.103,0.077,0.321,yes,no,no,1,feed
E11,/d/,feed,2,0.18,0.099,0.309,yes,no,no,1,feed
E11,/d/,feed,3,0.16,0.109,0.31,yes,no,no,1,feed
