Speaker,Sound,Word,set,phon_ctxt_stress,syllable,Item.Word,onset_has_nasal,onset_has_lateral,onset_has_rhotic,coda_has_nasal,coda_has_lateral,coda_has_rhotic,has_long_vowel,syllable_duration,word_duration,num_of_segments,combo,Type,burst,closure,vowel
E14,/t/,but,1,yes,1,but,no,no,no,no,no,no,no,0.557,0.557,3,E14_but_1,old,0.14,0.176,0.104
E14,/t/,but,2,yes,1,but,no,no,no,no,no,no,no,0.467,0.467,3,E14_but_2,old,0.129,0.204,0.097
E14,/t/,but,3,yes,1,but,no,no,no,no,no,no,no,0.466,0.466,3,E14_but_3,old,0.14,0.201,0.085
E15,/t/,but,1,yes,1,but,no,no,no,no,no,no,no,0.403,0.403,3,E15_but_1,old,0.121,0.103,0.143
E15,/t/,but,2,yes,1,but,no,no,no,no,no,no,no,0.429,0.429,3,E15_but_2,old,0.162,0.104,0.146
E15,/t/,but,3,yes,1,but,no,no,no,no,no,no,no,0.416,0.416,3,E15_but_3,old,0.157,0.099,0.148
E9,/t/,but,1,yes,1,but,no,no,no,no,no,no,no,0.445,0.445,3,E9_but_1,old,0.119,0.131,0.145
E9,/t/,but,2,yes,1,but,no,no,no,no,no,no,no,0.473,0.473,3,E9_but_2,old,0.149,0.112,0.167
E9,/t/,but,3,yes,1,but,no,no,no,no,no,no,no,0.509,0.509,3,E9_but_3,old,0.202,0.115,0.151
E1,/d/,cooed,1,yes,1,cooed,no,no,no,no,no,no,no,0.38,0.38,3,E1_cooed_1,old,0.082,0.028,0.175
E1,/d/,cooed,2,yes,1,cooed,no,no,no,no,no,no,no,0.437,0.437,3,E1_cooed_2,old,0.152,0.026,0.2
E1,/d/,cooed,3,yes,1,cooed,no,no,no,no,no,no,no,0.373,0.373,3,E1_cooed_3,old,0.073,0.033,0.182
E10,/d/,cooed,1,yes,1,cooed,no,no,no,no,no,no,no,0.54,0.54,3,E10_cooed_1,old,0.078,0.04,0.291
E10,/d/,cooed,2,yes,1,cooed,no,no,no,no,no,no,no,0.543,0.543,3,E10_cooed_2,old,0.111,0.046,0.304
E10,/d/,cooed,3,yes,1,cooed,no,no,no,no,no,no,no,0.57,0.57,3,E10_cooed_3,old,0.116,0.038,0.29
E11,/d/,cooed,1,yes,1,cooed,no,no,no,no,no,no,no,0.562,0.562,3,E11_cooed_1,old,0.149,0.064,0.242
E11,/d/,cooed,2,yes,1,cooed,no,no,no,no,no,no,no,0.637,0.637,3,E11_cooed_2,old,0.154,0.085,0.25
E11,/d/,cooed,3,yes,1,cooed,no,no,no,no,no,no,no,0.606,0.606,3,E11_cooed_3,old,0.142,0.074,0.265
E12,/d/,cooed,1,yes,1,cooed,no,no,no,no,no,no,no,0.431,0.431,3,E12_cooed_1,old,0.094,0.046,0.224
E12,/d/,cooed,2,yes,1,cooed,no,no,no,no,no,no,no,0.456,0.456,3,E12_cooed_2,old,0.123,0.052,0.204
E12,/d/,cooed,3,yes,1,cooed,no,no,no,no,no,no,no,0.4,0.4,3,E12_cooed_3,old,0.079,0.04,0.199
E13,/d/,cooed,1,yes,1,cooed,no,no,no,no,no,no,no,0.605,0.605,3,E13_cooed_1,old,0.096,0.067,0.286
E13,/d/,cooed,2,yes,1,cooed,no,no,no,no,no,no,no,0.598,0.598,3,E13_cooed_2,old,0.1,0.063,0.315
E13,/d/,cooed,3,yes,1,cooed,no,no,no,no,no,no,no,0.541,0.541,3,E13_cooed_3,old,0.107,0.021,0.313
E14,/d/,cooed,1,yes,1,cooed,no,no,no,no,no,no,no,0.557,0.557,3,E14_cooed_1,old,0.15,0.065,0.225
E14,/d/,cooed,2,yes,1,cooed,no,no,no,no,no,no,no,0.546,0.546,3,E14_cooed_2,old,0.129,0.069,0.236
E14,/d/,cooed,3,yes,1,cooed,no,no,no,no,no,no,no,0.493,0.493,3,E14_cooed_3,old,0.089,0.076,0.233
E15,/d/,cooed,1,yes,1,cooed,no,no,no,no,no,no,no,0.49,0.49,3,E15_cooed_1,old,0.115,0.049,0.216
E15,/d/,cooed,2,yes,1,cooed,no,no,no,no,no,no,no,0.516,0.516,3,E15_cooed_2,old,0.108,0.041,0.258
E15,/d/,cooed,3,yes,1,cooed,no,no,no,no,no,no,no,0.536,0.536,3,E15_cooed_3,old,0.155,0.02,0.257
E3,/d/,cooed,1,yes,1,cooed,no,no,no,no,no,no,no,0.473,0.473,3,E3_cooed_1,old,0.057,0.046,0.258
E3,/d/,cooed,2,yes,1,cooed,no,no,no,no,no,no,no,0.531,0.531,3,E3_cooed_2,old,0.148,0.047,0.237
E3,/d/,cooed,3,yes,1,cooed,no,no,no,no,no,no,no,0.479,0.479,3,E3_cooed_3,old,0.063,0.045,0.258
E7,/d/,cooed,1,yes,1,cooed,no,no,no,no,no,no,no,0.536,0.536,3,E7_cooed_1,old,0.063,0.058,0.308
E7,/d/,cooed,2,yes,1,cooed,no,no,no,no,no,no,no,0.608,0.608,3,E7_cooed_2,old,0.109,0.062,0.29
E7,/d/,cooed,3,yes,1,cooed,no,no,no,no,no,no,no,0.528,0.528,3,E7_cooed_3,old,0.126,0.069,0.232
E9,/d/,cooed,1,yes,1,cooed,no,no,no,no,no,no,no,0.433,0.433,3,E9_cooed_1,old,0.036,0.073,0.235
E9,/d/,cooed,2,yes,1,cooed,no,no,no,no,no,no,no,0.507,0.507,3,E9_cooed_2,old,0.035,0.094,0.278
E1,/t/,cut,1,yes,1,cut,no,no,no,no,no,no,no,0.39,0.39,3,E1_cut_1,old,0.127,0.11,0.111
E1,/t/,cut,2,yes,1,cut,no,no,no,no,no,no,no,0.44,0.44,3,E1_cut_2,old,0.176,0.082,0.118
